iter	Passed	Remaining
0	30	30519
1	51	25635
2	71	23794
3	90	22658
4	113	22634
5	141	23511
6	161	22888
7	179	22303
8	197	21710
9	214	21274
10	230	20722
11	248	20472
12	263	20002
13	280	19759
14	297	19527
15	314	19349
16	328	18991
17	344	18801
18	359	18584
19	373	18308
20	387	18065
21	401	17834
22	422	17946
23	450	18313
24	473	18467
25	498	18683
26	522	18826
27	548	19055
28	565	18942
29	585	18924
30	605	18917
31	618	18700
32	632	18545
33	646	18369
34	659	18169
35	670	17947
36	682	17775
37	698	17686
38	716	17650
39	734	17627
40	747	17484
41	763	17420
42	776	17290
43	791	17201
44	805	17099
45	819	16996
46	832	16878
47	843	16736
48	856	16622
49	869	16512
50	882	16424
51	895	16329
52	908	16241
53	921	16136
54	934	16048
55	946	15953
56	959	15874
57	972	15792
58	985	15720
59	998	15650
60	1012	15593
61	1025	15516
62	1038	15446
63	1053	15410
64	1070	15396
65	1083	15330
66	1095	15259
67	1108	15197
68	1121	15133
69	1135	15087
70	1149	15035
71	1167	15051
72	1184	15038
73	1198	15002
74	1219	15035
75	1236	15039
76	1255	15046
77	1273	15058
78	1289	15030
79	1304	15001
80	1318	14955
81	1333	14930
82	1350	14916
83	1367	14910
84	1383	14896
85	1396	14837
86	1408	14783
87	1420	14720
88	1435	14691
89	1449	14656
90	1467	14653
91	1479	14597
92	1492	14554
93	1504	14502
94	1517	14456
95	1530	14414
96	1542	14356
97	1554	14306
98	1565	14248
99	1578	14206
100	1595	14197
101	1610	14175
102	1623	14135
103	1636	14096
104	1648	14049
105	1661	14012
106	1676	13989
107	1687	13934
108	1701	13906
109	1713	13860
110	1726	13827
111	1739	13790
112	1751	13747
113	1763	13705
114	1775	13659
115	1787	13619
116	1800	13587
117	1813	13551
118	1829	13545
119	1844	13528
120	1856	13484
121	1867	13441
122	1879	13403
123	1892	13367
124	1905	13335
125	1916	13292
126	1928	13255
127	1940	13220
128	1967	13287
129	1982	13265
130	1993	13224
131	2004	13183
132	2017	13150
133	2030	13122
134	2042	13085
135	2053	13045
136	2065	13012
137	2078	12984
138	2092	12960
