iter	Passed	Remaining
0	172	85983
1	337	84036
2	491	81467
3	638	79229
4	795	78708
5	1019	83906
6	1241	87437
7	1414	86962
8	1549	84534
9	1677	82190
10	1807	80334
11	1939	78852
12	2062	77249
13	2186	75897
14	2333	75442
15	2473	74818
16	2615	74311
17	2748	73589
18	2880	72927
19	3008	72200
20	3132	71455
21	3265	70943
22	3396	70430
23	3564	70697
24	3698	70280
25	3838	69976
26	3972	69584
27	4149	69953
28	4278	69485
29	4410	69095
30	4541	68709
31	4664	68223
32	4792	67824
33	4943	67760
34	5088	67603
35	5267	67897
36	5417	67792
37	5548	67459
38	5680	67144
39	5842	67188
40	5987	67026
41	6147	67039
42	6327	67251
43	6482	67185
44	6636	67105
45	6793	67045
46	6934	66837
47	7075	66629
48	7224	66498
49	7359	66237
50	7511	66126
51	7652	65928
52	7806	65835
53	7928	65483
54	8055	65176
55	8194	64968
56	8329	64733
57	8454	64432
58	8600	64286
59	8737	64073
60	8869	63834
61	8998	63572
62	9136	63374
63	9278	63208
64	9444	63205
65	9593	63087
66	9734	62913
67	9882	62780
68	10043	62736
69	10191	62606
70	10334	62441
71	10526	62575
72	10681	62476
73	10833	62366
74	11075	62761
75	11237	62695
76	11383	62533
77	11549	62488
78	11714	62430
79	11871	62325
80	12066	62417
81	12247	62430
82	12421	62404
83	12579	62299
84	12743	62216
85	12901	62105
86	13053	61967
87	13200	61801
88	13464	62180
89	13647	62173
90	13794	61999
91	13947	61852
92	14098	61701
93	14268	61629
94	14415	61456
95	14563	61289
96	14712	61123
97	14852	60924
98	14982	60687
99	15119	60478
100	15266	60311
101	15416	60152
102	15562	59982
103	15701	59785
104	15844	59605
105	15982	59405
106	16135	59262
107	16280	59093
108	16426	58926
109	16563	58723
110	16715	58578
111	16851	58377
112	16996	58208
113	17151	58075
114	17286	57872
115	17428	57694
116	17568	57512
117	17697	57291
118	17837	57108
119	17994	56984
120	18137	56810
121	18274	56621
122	18406	56415
123	18542	56225
124	18677	56031
125	18820	55864
126	18951	55660
127	19096	55498
128	19231	55308
129	19366	55119
130	19503	54938
131	19637	54746
132	19769	54552
133	19894	54337
134	20037	54176
135	20182	54019
136	20324	53852
137	20527	53848
138	20708	53783
139	20859	53638
140	20999	53466
141	21134	53283
142	21264	53087
143	21397	52899
144	21524	52697
145	21662	52523
146	21787	52319
147	21926	52150
148	22059	51965
149	22209	51822
150	22346	51647
151	22493	51497
152	22628	51320
153	22771	51161
154	22906	50985
155	23042	50811
156	23178	50637
157	23324	50487
158	23469	50333
159	23603	50157
160	23742	49992
161	23891	49846
162	24036	49694
163	24176	49531
164	24316	49370
165	24462	49219
166	24596	49046
167	24731	48875
168	24863	48696
169	25001	48532
170	25127	48345
171	25271	48191
172	25403	48016
173	25538	47847
174	25683	47697
175	25819	47531
176	25959	47372
177	26094	47203
178	26237	47051
179	26372	46884
180	26505	46714
181	26642	46551
182	26800	46424
183	26972	46322
184	27119	46175
185	27253	46008
186	27390	45845
187	27535	45697
188	27667	45526
189	27787	45337
190	27903	45142
191	28020	44948
192	28138	44759
193	28258	44572
194	28385	44397
195	28511	44221
196	28631	44036
197	28751	43853
198	28875	43676
199	29052	43579
200	29205	43444
201	29358	43311
202	29498	43158
203	29628	42989
204	29767	42835
205	29894	42664
206	30023	42497
207	30147	42322
208	30270	42147
209	30389	41966
210	30502	41778
211	30621	41599
212	30747	41430
213	30870	41257
214	30996	41088
215	31121	40919
216	31251	40756
217	31373	40583
218	31496	40413
219	31619	40243
220	31744	40075
221	31878	39919
222	32004	39754
223	32128	39586
224	32249	39416
225	32372	39247
