,number,value,datetime_start,datetime_complete,duration,params_boosting,params_feature_fraction,params_learning_rate,params_num_leaves,params_other_rate,params_top_rate,user_attrs_test_error,user_attrs_train_error,user_attrs_uuid,state
0,0,0.3535528596187175,2021-10-14 15:31:34.702545,2021-10-14 15:31:35.114533,0 days 00:00:00.411988,goss,0.9434906961217091,0.04369568727906464,679,0.41371541395290296,0.2942774541374712,0.3535528596187175,0.3414869029275809,9490d081-d4f9-44d3-8548-c32be36db985,COMPLETE
1,1,0.3535528596187175,2021-10-14 15:31:35.116530,2021-10-14 15:31:35.581529,0 days 00:00:00.464999,goss,0.49696890338204447,0.0018321925223909097,898,0.14327295469535892,0.3159695889224795,0.3535528596187175,0.3414869029275809,8de26ee3-1b8d-4d64-b317-b430badd4077,COMPLETE
2,2,0.3535528596187175,2021-10-14 15:31:35.584535,2021-10-14 15:31:35.864532,0 days 00:00:00.279997,gbdt,0.7459513002965085,0.00010477202048063907,178,,,0.3535528596187175,0.3414869029275809,7575087c-efab-4d0b-b448-0820d29db3e8,COMPLETE
3,3,0.3535528596187175,2021-10-14 15:31:35.866534,2021-10-14 15:31:36.333538,0 days 00:00:00.467004,gbdt,0.9842739441856758,0.043372907702995345,403,,,0.3535528596187175,0.3414869029275809,3cd683d6-9581-4e61-8691-f36321bb274f,COMPLETE
4,4,0.3535528596187175,2021-10-14 15:31:36.335529,2021-10-14 15:31:36.859179,0 days 00:00:00.523650,gbdt,0.5226410265619217,0.0006521401646763073,815,,,0.3535528596187175,0.3414869029275809,6c91eeef-8465-49bd-ac11-b5f85a2c63cb,COMPLETE
5,5,0.3535528596187175,2021-10-14 15:31:36.861173,2021-10-14 15:31:37.318699,0 days 00:00:00.457526,gbdt,0.0759189885015622,0.5480502365897593,589,,,0.3535528596187175,0.3414869029275809,c1852c08-c560-47a8-b05e-268f41c5e9e2,COMPLETE
6,6,0.3535528596187175,2021-10-14 15:31:37.322706,2021-10-14 15:31:37.678707,0 days 00:00:00.356001,goss,0.11081977291709233,0.03753382313373361,253,0.06946321871161054,0.6863843312473736,0.3535528596187175,0.3414869029275809,a11ce851-e121-4770-acb6-03441c963129,COMPLETE
7,7,0.3535528596187175,2021-10-14 15:31:37.680699,2021-10-14 15:31:38.153700,0 days 00:00:00.473001,goss,0.0656646477289019,0.019431654312791077,984,0.234431515813475,0.7119101004409376,0.3535528596187175,0.3414869029275809,ed21a513-6c89-4a27-ba2e-317b60c61195,COMPLETE
8,8,0.3535528596187175,2021-10-14 15:31:38.156696,2021-10-14 15:31:38.511700,0 days 00:00:00.355004,gbdt,0.34567938761342387,0.01625795799240216,786,,,0.3535528596187175,0.3414869029275809,ebe2cc65-f54a-4710-81f0-d143eebba2ba,COMPLETE
9,9,0.3535528596187175,2021-10-14 15:31:38.513698,2021-10-14 15:31:39.013699,0 days 00:00:00.500001,gbdt,0.6405929667266868,0.005031354446525494,842,,,0.3535528596187175,0.3414869029275809,ff5975ca-d277-40eb-82f9-26f0fea83cb2,COMPLETE
10,10,0.3535528596187175,2021-10-14 15:31:39.015696,2021-10-14 15:31:39.374697,0 days 00:00:00.359001,goss,0.9686309573437203,0.3360624841197018,19,0.6609601292829079,0.15186364064069574,0.3535528596187175,0.3414869029275809,e47a4940-73bf-45ee-95ae-e44d53643514,COMPLETE
11,11,0.3535528596187175,2021-10-14 15:31:39.378711,2021-10-14 15:31:39.824773,0 days 00:00:00.446062,goss,0.2857261661858034,0.0021061939799582527,615,0.4579233530427569,0.24851497767928235,0.3535528596187175,0.3414869029275809,d48f1708-bb0b-43cf-8f2d-72c50ecb8aba,COMPLETE
12,12,0.3535528596187175,2021-10-14 15:31:39.827773,2021-10-14 15:31:40.306773,0 days 00:00:00.479000,goss,0.775294308075537,0.1581110692629988,994,0.319211780280238,0.3760526955232725,0.3535528596187175,0.3414869029275809,913378c0-97bf-45be-aba7-f762404af0c2,COMPLETE
13,13,0.3535528596187175,2021-10-14 15:31:40.311774,2021-10-14 15:31:40.674771,0 days 00:00:00.362997,goss,0.4144544602922155,0.0007330999681458024,688,0.8173076328788085,0.02680989046020893,0.3535528596187175,0.3414869029275809,6780c2d8-819a-4616-83c9-3ab3d7e2a1c4,COMPLETE
14,14,0.3535528596187175,2021-10-14 15:31:40.676770,2021-10-14 15:31:41.000772,0 days 00:00:00.324002,goss,0.575155473670639,0.004326367819095194,479,0.08616054616297247,0.4379763245698146,0.3535528596187175,0.3414869029275809,50a4cfaf-be55-4cbe-9640-e4fe1a881745,COMPLETE
15,15,0.3535528596187175,2021-10-14 15:31:41.003773,2021-10-14 15:31:41.361770,0 days 00:00:00.357997,goss,0.8276377478869571,0.09512891310786015,866,0.060199974640650133,0.9259947638442547,0.3535528596187175,0.3414869029275809,6f9388f1-f925-42b0-b48c-ca32f8bf0e33,COMPLETE
16,16,0.3535528596187175,2021-10-14 15:31:41.363770,2021-10-14 15:31:41.824770,0 days 00:00:00.461000,goss,0.2532108692871007,0.000931947560521,699,0.4560901394377407,0.31445056611903566,0.3535528596187175,0.3414869029275809,196962b0-ea2c-4bac-bd7f-b9aec48852af,COMPLETE
17,17,0.3535528596187175,2021-10-14 15:31:41.826773,2021-10-14 15:31:42.221774,0 days 00:00:00.395001,goss,0.8725337204786116,0.006256694966481786,433,0.0026237374573556405,0.5937056945038003,0.3535528596187175,0.3414869029275809,1d271b58-053b-48ed-bbd3-4c20703aee48,COMPLETE
18,18,0.3535528596187175,2021-10-14 15:31:42.224777,2021-10-14 15:31:42.618314,0 days 00:00:00.393537,goss,0.8555976610265004,0.1219375973818947,710,0.021311379421257104,0.962782630931401,0.3535528596187175,0.3414869029275809,8b38eb59-e763-472d-85c1-0353109705e3,COMPLETE
19,19,0.3535528596187175,2021-10-14 15:31:42.620310,2021-10-14 15:31:42.940319,0 days 00:00:00.320009,goss,0.27359661236865973,0.000128254167298919,557,0.5041951187048375,0.19294348696485236,0.3535528596187175,0.3414869029275809,e90c92f3-d7d5-4047-9622-364aba9d9204,COMPLETE
20,20,0.3535528596187175,2021-10-14 15:31:42.942310,2021-10-14 15:31:43.228310,0 days 00:00:00.286000,goss,0.6882457180154381,0.00781980181556135,380,0.21698276582140083,0.5821116472868741,0.3535528596187175,0.3414869029275809,686b08d5-87df-48ec-8f06-f3c19cdb36ce,COMPLETE
