iter	Passed	Remaining
0	80	80728
1	133	66552
2	193	64259
3	249	62164
4	305	60717
5	356	59076
6	410	58253
7	467	57915
8	522	57479
9	576	57101
10	634	57060
11	678	55872
12	723	54941
13	777	54764
14	831	54629
15	886	54511
16	941	54426
17	977	53349
18	1033	53345
19	1077	52777
20	1137	53050
21	1190	52930
22	1243	52823
23	1311	53319
24	1367	53319
25	1425	53387
26	1479	53331
27	1522	52838
28	1575	52736
29	1629	52674
30	1663	51998
31	1701	51456
32	1753	51397
33	1804	51271
34	1832	50519
35	1883	50441
36	1919	49950
37	1972	49946
38	2026	49928
39	2079	49913
40	2133	49898
41	2176	49644
42	2228	49596
43	2257	49046
44	2279	48368
45	2338	48506
46	2400	48668
47	2460	48801
48	2513	48784
49	2568	48800
50	2622	48800
51	2674	48755
52	2726	48714
53	2782	48740
54	2838	48774
55	2895	48817
56	2954	48877
57	3004	48801
58	3060	48814
59	3112	48759
60	3169	48789
61	3254	49231
62	3310	49230
63	3361	49165
64	3408	49036
65	3461	48991
66	3520	49019
67	3571	48946
68	3623	48892
69	3678	48873
70	3735	48880
71	3774	48644
72	3803	48294
73	3861	48321
74	3913	48266
75	3965	48217
76	4017	48159
77	4054	47920
78	4104	47855
79	4161	47860
80	4213	47800
81	4269	47792
82	4326	47803
83	4382	47791
84	4434	47737
85	4488	47702
86	4540	47653
87	4569	47359
88	4624	47332
89	4678	47301
90	4730	47255
91	4787	47249
92	4844	47247
93	4903	47259
94	4962	47270
95	5037	47436
96	5105	47531
97	5162	47520
98	5224	47544
99	5286	47575
100	5349	47619
101	5407	47605
102	5461	47561
103	5521	47571
104	5582	47583
105	5640	47571
106	5695	47529
107	5749	47482
108	5802	47431
109	5856	47386
110	5916	47381
111	5936	47067
112	5996	47073
113	6052	47039
114	6106	46990
115	6158	46928
116	6194	46752
117	6227	46548
118	6283	46521
119	6338	46482
120	6369	46267
121	6426	46251
122	6486	46247
123	6550	46279
124	6605	46240
125	6672	46282
126	6727	46243
127	6771	46130
128	6826	46091
129	6884	46073
130	6940	46038
131	6996	46004
132	7018	45754
133	7072	45704
134	7129	45681
135	7192	45693
136	7271	45805
137	7379	46096
138	7472	46287
139	7564	46468
140	7642	46559
141	7718	46634
142	7768	46557
143	7819	46483
144	7869	46400
145	7906	46245
146	7925	45989
147	7977	45922
148	8043	45938
149	8093	45864
150	8120	45660
151	8168	45572
152	8216	45484
153	8265	45407
154	8311	45312
155	8361	45236
156	8409	45156
157	8459	45080
158	8508	45004
159	8521	44737
160	8574	44683
161	8634	44662
162	8688	44616
163	8708	44390
164	8741	44236
165	8789	44158
166	8837	44082
167	8887	44013
168	8933	43927
169	8988	43885
170	9007	43666
171	9056	43599
172	9107	43539
173	9155	43459
174	9208	43409
175	9235	43239
176	9285	43172
177	9338	43125
178	9365	42955
179	9413	42882
180	9463	42820
181	9513	42757
182	9565	42703
183	9585	42511
184	9633	42441
185	9683	42376
186	9733	42316
187	9806	42355
188	9861	42317
189	9913	42262
190	9966	42212
191	10015	42149
192	10042	41990
193	10063	41810
194	10117	41766
195	10164	41697
196	10214	41635
197	10261	41564
198	10281	41383
199	10331	41324
200	10357	41172
201	10403	41099
202	10424	40928
203	10465	40834
204	10512	40768
205	10558	40696
206	10611	40653
207	10667	40619
208	10722	40579
209	10778	40548
210	10820	40461
211	10874	40419
212	10927	40375
213	10965	40275
214	10994	40141
215	11045	40090
216	11097	40043
217	11148	39992
218	11201	39948
219	11261	39926
220	11313	39877
221	11369	39844
222	11421	39796
223	11480	39771
224	11509	39644
225	11524	39468
226	11605	39518
227	11645	39431
228	11667	39283
229	11722	39245
230	11778	39211
231	11833	39173
232	11887	39130
233	11946	39105
234	11966	38955
235	11995	38832
236	12049	38792
237	12104	38754
238	12158	38714
239	12212	38673
240	12264	38625
241	12317	38580
242	12372	38542
243	12407	38442
244	12460	38398
245	12514	38357
246	12583	38362
247	12613	38247
248	12670	38215
249	12734	38202
250	12787	38159
251	12818	38047
252	12875	38015
253	12927	37968
254	12949	37832
255	13010	37811
256	13064	37769
257	13118	37727
258	13174	37691
259	13227	37648
260	13279	37600
261	13333	37558
262	13365	37453
263	13405	37371
264	13474	37374
265	13530	37336
266	13594	37322
267	13642	37263
268	13697	37221
269	13740	37148
270	13791	37100
271	13842	37047
272	13894	37001
273	13931	36913
274	13986	36872
275	14037	36823
276	14090	36777
277	14112	36650
278	14166	36608
279	14232	36597
280	14274	36525
281	14340	36511
282	14393	36467
283	14415	36344
284	14465	36289
285	14526	36265
286	14575	36210
287	14620	36145
288	14667	36086
289	14715	36028
290	14748	35933
291	14795	35874
292	14812	35741
293	14858	35680
294	14905	35620
295	14952	35561
296	15001	35508
297	15027	35399
298	15074	35340
299	15113	35263
300	15161	35209
301	15221	35180
302	15269	35124
303	15315	35065
304	15367	35017
305	15413	34958
306	15461	34902
307	15500	34825
308	15555	34786
309	15604	34733
310	15657	34687
311	15701	34623
312	15748	34565
313	15803	34525
314	15858	34485
315	15886	34387
316	15909	34277
317	15961	34231
318	16019	34198
319	16077	34164
320	16117	34093
321	16161	34029
322	16188	33931
323	16250	33905
324	16285	33823
325	16346	33795
326	16407	33767
327	16465	33733
328	16518	33690
329	16577	33657
330	16636	33625
331	16695	33591
332	16755	33560
333	16824	33549
334	16877	33502
335	16946	33488
336	17006	33457
337	17066	33426
338	17118	33378
339	17140	33272
340	17193	33226
341	17245	33179
342	17309	33155
